Date,Ticker,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_21,Volatility,Target
2023-12-04,HDFCBANK.NS,772.8569470817542,784.5374047202694,765.873018667368,783.2720336914062,50662456,782.2720336914062,755.3919067382812,737.4007364908854,14.447426708638123,1
2023-12-05,HDFCBANK.NS,796.4611682648754,797.6778825457567,786.7274540178253,790.2315673828125,52230820,789.2315673828125,762.5114135742188,740.8063761393229,17.731575018527042,1
2023-12-06,HDFCBANK.NS,797.4102676843459,797.4102676843459,786.8005536561491,792.2271118164062,38613060,791.2271118164062,769.1651088169643,744.1448102678571,19.040782261433705,1
2023-12-07,HDFCBANK.NS,790.86431017188,795.2444817359088,786.5814519897668,793.5167236328125,20450386,792.5167236328125,776.242902483259,747.2955206008185,17.238324880158896,1
2023-12-08,HDFCBANK.NS,793.5167662504412,805.4649253113081,793.5167662504412,804.5888671875,33728038,803.5888671875,782.7818690708706,751.1414969308036,18.181734366621004,0
2023-12-11,HDFCBANK.NS,803.0557997692163,809.6990123500813,801.5713845523902,803.5181274414062,23187620,802.5181274414062,789.1922084263393,754.8368297758557,16.03769463167169,0
2023-12-12,HDFCBANK.NS,805.0754658820659,806.0731953368484,794.1980523054578,795.5364379882812,36581476,794.5364379882812,794.6986955915179,758.288818359375,7.464686925317667,0
2023-12-13,HDFCBANK.NS,794.4901060535459,796.2178641804811,786.0461204150259,793.7357788085938,29346914,792.7357788085938,796.1935163225446,761.5194876534598,5.613176296063007,1
2023-12-14,HDFCBANK.NS,801.0847344683164,807.3872910879392,800.5980487244109,803.1044921875,35172366,802.1044921875,798.0325055803571,765.2588588169643,5.4404361129984915,1
2023-12-15,HDFCBANK.NS,803.0314839042278,811.7918273650013,801.3767404796611,806.2192993164062,138837130,805.2192993164062,800.0313895089286,768.7850138346354,5.521809890493783,0
2023-12-18,HDFCBANK.NS,808.2389706500245,810.1857135762941,803.4937847672423,805.8055419921875,18014754,804.8055419921875,801.7869349888393,772.1999250139509,5.037669644766501,0
2023-12-19,HDFCBANK.NS,803.0314705665357,807.2413140972394,800.135714179051,804.44287109375,24008446,803.44287109375,801.7660784040179,775.6252673921131,5.024420700710587,1
2023-12-20,HDFCBANK.NS,806.9249181384845,812.2541029714071,800.3303029144753,806.438232421875,34232520,805.438232421875,802.1832362583706,779.143310546875,5.307385151456572,1
2023-12-21,HDFCBANK.NS,806.438219443738,822.3771764061897,803.1530909094922,820.8927612304688,36589240,819.8927612304688,805.8055681501116,783.0541759672619,7.98986234733648,0
2023-12-22,HDFCBANK.NS,819.3840760112807,820.5034769444852,811.3537615362043,813.1788330078125,48578850,812.1788330078125,808.5831473214286,786.7228567940848,6.29428311405167,1
2023-12-26,HDFCBANK.NS,814.3469774999401,820.5278631124984,812.0595781088068,818.824462890625,18045856,817.824462890625,810.828857421875,790.4575921921503,6.79797010197006,1
2023-12-27,HDFCBANK.NS,818.3620896655261,830.5292334309963,816.9506891067552,828.9718627929688,27009078,827.9718627929688,814.0792236328125,794.4252406529018,9.230753305077096,1
2023-12-28,HDFCBANK.NS,831.8919383640549,837.7808237889657,828.3391087868577,829.9208374023438,44076470,828.9208374023438,817.5242658342634,798.5180344354538,10.08848805998997,1
